unit: MeV 
spectrum:
1.000000000000000021e-03 1.000000000000000048e-04
2.000100010001000343e-03 1.000000000000000048e-04
3.000200020002000232e-03 1.000000000000000048e-04
4.000300030003000121e-03 1.000000000000000048e-04
5.000400040004000443e-03 1.000000000000000048e-04
6.000500050005000766e-03 1.000000000000000048e-04
7.000600060006000221e-03 1.000000000000000048e-04
8.000700070006999676e-03 1.000000000000000048e-04
9.000800080007999998e-03 1.000000000000000048e-04
1.000090009000900032e-02 1.000000000000000048e-04
1.100100010001000064e-02 1.000000000000000048e-04
1.200110011001100097e-02 1.000000000000000048e-04
1.300120012001200129e-02 1.000000000000000048e-04
1.400130013001300161e-02 1.000000000000000048e-04
1.500140014001400193e-02 1.000000000000000048e-04
1.600150015001500226e-02 1.000000000000000048e-04
1.700160016001600258e-02 1.000000000000000048e-04
1.800170017001700290e-02 1.000000000000000048e-04
1.900180018001800322e-02 1.000000000000000048e-04
2.000190019001900354e-02 1.000000000000000048e-04
2.100200020002000387e-02 1.000000000000000048e-04
2.200210021002100419e-02 1.000000000000000048e-04
2.300220022002200451e-02 1.000000000000000048e-04
2.400230023002300483e-02 1.000000000000000048e-04
2.500240024002400169e-02 1.000000000000000048e-04
2.600250025002500201e-02 1.000000000000000048e-04
2.700260026002600233e-02 1.000000000000000048e-04
2.800270027002700265e-02 1.000000000000000048e-04
2.900280028002800298e-02 1.000000000000000048e-04
3.000290029002900330e-02 1.000000000000000048e-04
3.100300030003000362e-02 1.000000000000000048e-04
3.200310031003100047e-02 1.000000000000000048e-04
3.300320032003200427e-02 1.000000000000000048e-04
3.400330033003300112e-02 1.000000000000000048e-04
3.500340034003400491e-02 1.000000000000000048e-04
3.600350035003500176e-02 1.000000000000000048e-04
3.700360036003600556e-02 1.000000000000000048e-04
3.800370037003700241e-02 1.000000000000000048e-04
3.900380038003800620e-02 1.000000000000000048e-04
4.000390039003900305e-02 1.000000000000000048e-04
4.100400040004000685e-02 1.000000000000000048e-04
4.200410041004100370e-02 1.000000000000000048e-04
4.300420042004200749e-02 1.000000000000000048e-04
4.400430043004300434e-02 1.000000000000000048e-04
4.500440044004400814e-02 1.000000000000000048e-04
4.600450045004500499e-02 1.000000000000000048e-04
4.700460046004600878e-02 1.000000000000000048e-04
4.800470047004700563e-02 1.000000000000000048e-04
4.900480048004800249e-02 1.000000000000000048e-04
5.000490049004900628e-02 1.000000000000000048e-04
5.100500050005000313e-02 1.000000000000000048e-04
5.200510051005100692e-02 1.000000000000000048e-04
5.300520052005200378e-02 1.000000000000000048e-04
5.400530053005300757e-02 1.000000000000000048e-04
5.500540054005400442e-02 1.000000000000000048e-04
5.600550055005500821e-02 1.000000000000000048e-04
5.700560056005600507e-02 1.000000000000000048e-04
5.800570057005700886e-02 1.000000000000000048e-04
5.900580058005800571e-02 1.000000000000000048e-04
6.000590059005900950e-02 1.000000000000000048e-04
6.100600060006000636e-02 1.000000000000000048e-04
6.200610061006101015e-02 1.000000000000000048e-04
6.300620062006200006e-02 1.000000000000000048e-04
6.400630063006300385e-02 1.000000000000000048e-04
6.500640064006400765e-02 1.000000000000000048e-04
6.600650065006501144e-02 1.000000000000000048e-04
