unit: GeV 
spectrum:
1.000000000000000021e-02 9.277309531652345242e+01
1.009990099900998951e-02 9.178680437608893783e+01
1.019980199801998055e-02 9.081988779821190860e+01
1.029970299702996986e-02 8.987178178102458048e+01
1.039960399603996090e-02 8.894194418673626501e+01
1.049950499504995020e-02 8.802985351098341482e+01
1.059940599405994124e-02 8.713500791046382687e+01
1.069930699306993055e-02 8.625692428504547138e+01
1.079920799207992159e-02 8.539513741082267018e+01
1.089910899108991089e-02 8.454919912085044587e+01
1.099900999009990193e-02 8.371867753052609373e+01
1.109891098910989124e-02 8.290315630480439779e+01
1.119881198811988054e-02 8.210223396463466372e+01
1.129871298712987158e-02 8.131552323019181472e+01
1.139861398613986262e-02 8.054265039864418441e+01
1.149851498514985193e-02 7.978325475435765668e+01
1.159841598415984124e-02 7.903698800958048309e+01
1.169831698316983228e-02 7.830351377378667621e+01
1.179821798217982158e-02 7.758250704997921332e+01
1.189811898118981262e-02 7.687365375636868237e+01
1.199801998019980193e-02 7.617665027194819061e+01
1.209792097920979297e-02 7.549120300458335464e+01
1.219782197821978227e-02 7.481702798032650037e+01
1.229772297722977331e-02 7.415385045274820186e+01
1.239762397623976262e-02 7.350140453115704986e+01
1.249752497524975192e-02 7.285943282665060394e+01
1.259742597425974296e-02 7.222768611500818281e+01
1.269732697326973400e-02 7.160592301549699812e+01
1.279722797227972331e-02 7.099390968472317809e+01
1.289712897128971261e-02 7.039141952471085517e+01
1.299702997029970365e-02 6.979823290444470274e+01
1.309693096930969296e-02 6.921413689415628312e+01
1.319683196831968400e-02 6.863892501167929083e+01
1.329673296732967330e-02 6.807239698023913377e+01
1.339663396633966434e-02 6.751435849707931425e+01
1.349653496534965365e-02 6.696462101236402020e+01
1.359643596435964469e-02 6.642300151782745843e+01
1.369633696336963399e-02 6.588932234467316107e+01
1.379623796237962330e-02 6.536341097025351132e+01
1.389613896138961434e-02 6.484509983308853975e+01
1.399603996039960538e-02 6.433422615580664683e+01
1.409594095940959468e-02 6.383063177561441393e+01
1.419584195841958399e-02 6.333416298192479843e+01
1.429574295742957503e-02 6.284467036079337987e+01
1.439564395643956607e-02 6.236200864583197756e+01
1.449554495544955537e-02 6.188603657528709334e+01
1.459544595445954468e-02 6.141661675498792050e+01
1.469534695346953398e-02 6.095361552688449081e+01
1.479524795247952502e-02 6.049690284291186515e+01
1.489514895148951606e-02 6.004635214393014309e+01
1.499504995049950537e-02 5.960184024350373733e+01
1.509495094950949468e-02 5.916324721629571570e+01
1.519485194851948572e-02 5.873045629086458774e+01
1.529475294752947676e-02 5.830335374666260861e+01
1.539465394653946606e-02 5.788182881504444310e+01
1.549455494554945537e-02 5.746577358410531389e+01
1.559445594455944641e-02 5.705508290717694564e+01
1.569435694356943745e-02 5.664965431481822833e+01
1.579425794257942675e-02 5.624938793014592164e+01
1.589415894158941606e-02 5.585418638735846031e+01
1.599405994059940536e-02 5.546395475331321734e+01
1.609396093960939467e-02 5.507860045202447452e+01
1.619386193861938744e-02 5.469803319195622748e+01
1.629376293762937675e-02 5.432216489598956599e+01
1.639366393663936605e-02 5.395090963395066552e+01
1.649356493564935883e-02 5.358418355759092577e+01
1.659346593465934813e-02 5.322190483791580817e+01
1.669336693366933744e-02 5.286399360476387699e+01
1.679326793267932674e-02 5.251037188854262894e+01
1.689316893168931605e-02 5.216096356403154743e+01
1.699306993069930882e-02 5.181569429616743605e+01
1.709297092970929813e-02 5.147449148773102223e+01
1.719287192871928743e-02 5.113728422885721159e+01
1.729277292772927674e-02 5.080400324829557945e+01
1.739267392673926604e-02 5.047458086635052865e+01
1.749257492574925882e-02 5.014895094943399556e+01
1.759247592475924812e-02 4.982704886616672013e+01
1.769237692376923743e-02 4.950881144496656106e+01
1.779227792277923020e-02 4.919417693306589001e+01
1.789217892178921604e-02 4.888308495690176159e+01
1.799207992079920881e-02 4.857547648382573158e+01
1.809198091980919812e-02 4.827129378508228541e+01
1.819188191881918742e-02 4.797048040000709790e+01
1.829178291782918020e-02 4.767298110139845591e+01
1.839168391683916950e-02 4.737874186201728577e+01
1.849158491584915881e-02 4.708770982217306766e+01
1.859148591485915158e-02 4.679983325835485175e+01
1.869138691386913742e-02 4.651506155286818256e+01
1.879128791287913020e-02 4.623334516444052156e+01
1.889118891188911950e-02 4.595463559975951284e+01
1.899108991089910881e-02 4.567888538590931802e+01
1.909099090990910158e-02 4.540604804367254133e+01
1.919089190891908742e-02 4.513607806166605485e+01
1.929079290792908019e-02 4.486893087128035518e+01
1.939069390693906950e-02 4.460456282239372428e+01
1.949059490594905880e-02 4.434293115983316369e+01
