#ZVView-data-copy:   9-Jul-2025 14:50:18
#=======================================
#
#name:   ENDF/B-VIII.1: B-10(N,A)LI-7
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  500
#data...
#            X            Y
#          MeV        barns
         1e-11       193369 
   1.10304e-11       184116 
   1.21669e-11       175306 
   1.34206e-11       166917 
   1.48034e-11       158930 
   1.63287e-11       151325 
   1.80111e-11       144084 
   1.98669e-11       137190 
   2.19139e-11       130625 
   2.41719e-11       124374 
   2.66625e-11       118423 
   2.94097e-11       112756 
     3.244e-11       107361 
   3.57825e-11       102224 
   3.94694e-11      97332.1 
   4.35362e-11      92674.6 
   4.80221e-11      88240.1 
   5.29701e-11      84017.7 
    5.8428e-11      79997.4 
   6.44483e-11      76169.4 
   7.10888e-11      72524.7 
   7.84136e-11      69054.3 
   8.64931e-11        65750 
   9.54051e-11      62603.8 
   1.05235e-10      59608.1 
   1.16078e-10      56755.8 
   1.28039e-10        54040 
   1.41231e-10      51454.2 
   1.55784e-10        48992 
   1.71835e-10      46647.7 
    1.8954e-10      44415.6 
    2.0907e-10      42290.2 
   2.30612e-10      40266.6 
   2.54374e-10      38339.8 
   2.80584e-10      36505.2 
   3.09494e-10      34758.4 
   3.41383e-10      33095.2 
   3.76558e-10      31511.5 
   4.15358e-10      30003.7 
   4.58155e-10        28568 
   5.05362e-10        27201 
   5.57433e-10      25899.4 
   6.14869e-10      24660.1 
   6.78223e-10      23480.1 
   7.48105e-10      22356.5 
   8.25188e-10      21286.7 
   9.10213e-10      20268.1 
      1.004e-9      19298.3 
    1.10745e-9      18374.8 
    1.22155e-9      17495.6 
    1.34742e-9      16658.4 
    1.48625e-9      15861.3 
    1.63939e-9      15102.3 
    1.80831e-9      14379.6 
    1.99463e-9      13691.5 
    2.20016e-9      13036.4 
    2.42685e-9      12412.6 
    2.67691e-9      11818.6 
    2.95273e-9        11253 
    3.25697e-9      10714.6 
    3.59256e-9      10201.9 
    3.96272e-9      9713.68 
    4.37103e-9      9248.86 
    4.82141e-9      8806.28 
    5.31819e-9      8384.88 
    5.86616e-9      7983.65 
    6.47059e-9      7601.61 
     7.1373e-9      7237.85 
    7.87271e-9       6891.5 
    8.68389e-9      6561.73 
    9.57865e-9      6247.73 
    1.05656e-8      5948.76 
    1.16543e-8      5664.09 
    1.28551e-8      5393.04 
    1.41796e-8      5134.97 
    1.56406e-8      4889.24 
    1.72522e-8      4655.27 
    1.90298e-8       4432.5 
    2.09906e-8      4220.39 
    2.31534e-8      4018.42 
    2.52419e-8      3848.58 
       2.53e-8      3844.16 
    2.79068e-8       3660.2 
    3.07823e-8      3485.04 
     3.3954e-8      3318.26 
    3.74525e-8      3159.47 
    4.13115e-8      3008.27 
    4.55681e-8      2864.31 
    5.02633e-8      2727.24 
    5.54423e-8      2596.73 
    6.11549e-8      2472.48 
    6.74561e-8      2354.19 
    7.44066e-8      2241.58 
    8.20732e-8       2134.4 
    9.05297e-8      2032.38 
    9.98577e-8      1935.28 
    1.10147e-7      1842.83 
    1.21496e-7      1754.78 
    1.34014e-7       1670.9 
    1.47823e-7      1590.96 
    1.63054e-7      1514.81 
    1.79855e-7      1442.29 
    1.98386e-7      1373.25 
    2.18827e-7      1307.54 
    2.41375e-7      1244.99 
    2.66245e-7      1185.43 
    2.93678e-7       1128.7 
    3.23938e-7      1074.65 
    3.57316e-7      1023.18 
    3.94132e-7      974.207 
    4.34743e-7      927.565 
    4.79537e-7      883.166 
    5.28947e-7      840.946 
    5.83448e-7      800.739 
    6.43565e-7      762.404 
    7.09876e-7      725.917 
     7.8302e-7      691.134 
      8.637e-7       657.97 
    9.52693e-7      626.464 
    1.05086e-6      596.484 
    1.15913e-6      567.973 
    1.27857e-6      540.746 
     1.4103e-6      514.911 
    1.56659e-6      488.543 
    1.72801e-6      465.063 
    1.90606e-6      442.811 
    2.10245e-6      421.603 
    2.31908e-6      401.473 
    2.57595e-6       380.84 
    2.84137e-6      362.684 
    3.13414e-6      345.325 
    3.45707e-6      328.689 
    3.81327e-6      312.988 
    4.23585e-6      296.949 
     4.6723e-6      282.709 
    5.15372e-6      269.179 
    5.68474e-6      256.259 
    6.31441e-6      243.169 
    6.96502e-6      231.484 
    7.73687e-6      219.637 
    8.59383e-6      208.379 
    9.47932e-6      198.403 
    1.03833e-5      189.563 
    1.13729e-5      181.088 
    1.25448e-5      172.446 
    1.37411e-5      164.716 
    1.52631e-5      156.269 
    1.70733e-5      147.739 
    1.88325e-5      140.672 
    2.06284e-5      134.404 
    2.25945e-5      128.393 
    2.45759e-5      123.133 
     2.6731e-5       118.02 
    2.90751e-5      113.166 
    3.14047e-5       108.87 
    3.43979e-5      103.997 
    3.76782e-5      99.3618 
    4.09823e-5      95.2695 
    4.48884e-5      90.9993 
    4.91691e-5      86.9463 
    5.34808e-5      83.3512 
    5.77632e-5      80.1984 
    6.41644e-5      76.0517 
    6.93022e-5      73.2128 
    7.48551e-5      70.4052 
    8.31463e-5      66.7764 
    9.04375e-5      64.0349 
    9.83681e-5      61.3874 
   0.000106994      58.8441 
   0.000115567      56.6135 
   0.000128368      53.6829 
   0.000138653      51.6749 
   0.000149756      49.6912 
   0.000166351       47.125 
   0.000180939      45.1875 
   0.000195427       43.465 
   0.000212564      41.6608 
   0.000231204      39.9412 
   0.000256826      37.8676 
   0.000275461      36.5743 
   0.000299617      35.0455 
   0.000332803       33.232 
    0.00035947      31.9717 
   0.000390992      30.6475 
   0.000428258      29.2654 
   0.000469098      27.9562 
   0.000510234      26.7965 
   0.000554977      25.6784 
   0.000599416      24.7014 
   0.000656579      23.5853 
   0.000714155       22.607 
    0.00077678      21.6648 
   0.000856818       20.617 
   0.000931953      19.7584 
    0.00102078       18.871 
    0.00111029      18.0813 
    0.00119925      17.3908 
    0.00131356       16.603 
    0.00142874      15.9122 
    0.00155351      15.2495 
    0.00171358      14.5097 
    0.00186163      13.9117 
    0.00202488      13.3313 
    0.00223351      12.6818 
    0.00249193       11.995 
     0.0026916      11.5363 
    0.00292763      11.0528 
    0.00317596      10.6057 
    0.00345447      10.1598 
     0.0037574       9.7349 
    0.00405643      9.36281 
    0.00447242      8.90817 
    0.00486277      8.53678 
     0.0053265      8.15078 
    0.00581353      7.79467 
    0.00630744      7.47818 
    0.00690894      7.13942 
     0.0075148      6.84097 
    0.00811287      6.57973 
    0.00894484       6.2611 
    0.00972554      6.00088 
     0.0105784      5.75309 
      0.010653      5.73158 
     0.0114862      5.51842 
     0.0127482      5.23509 
     0.0136732      5.05624 
     0.0149545      4.83205 
      0.016606      4.58309 
     0.0179365      4.40949 
     0.0196461      4.21072 
     0.0197846      4.19715 
     0.0222164      3.96242 
      0.022372      3.94977 
     0.0249193        3.745 
      0.026916      3.60619 
     0.0271045      3.59443 
     0.0292763      3.45995 
     0.0315372      3.33708 
     0.0345037      3.19696 
     0.0347471      3.18556 
     0.0376754      3.06422 
     0.0387054      3.02601 
     0.0405643      2.95773 
     0.0408505      2.94857 
     0.0447242      2.82561 
     0.0453523      2.80808 
     0.0486277       2.7175 
     0.0503527      2.67559 
     0.0530701      2.61046 
     0.0559368       2.5503 
     0.0581353      2.50448 
     0.0604232       2.4628 
     0.0632333      2.41229 
     0.0696338      2.31278 
     0.0709876      2.29206 
     0.0784651      2.19531 
     0.0805643      2.17181 
     0.0866569      2.10469 
     0.0906349      2.06678 
     0.0932103      2.04259 
      0.100705       1.9778 
      0.120823      1.83705 
      0.139966      1.73094 
      0.141941       1.7202 
      0.163402      1.61821 
      0.166868      1.60186 
      0.202822       1.4406 
      0.221552      1.35572 
          0.24      1.27103 
      0.245103      1.24727 
      0.261834      1.17352 
      0.263668      1.16611 
      0.281975      1.09161 
           0.3      1.02611 
      0.302116      1.01959 
          0.32     0.965259 
          0.34     0.917699 
          0.36     0.883826 
          0.38     0.863434 
           0.4     0.855262 
      0.412892     0.856056 
       0.42893     0.857798 
      0.446208     0.859814 
          0.45     0.859967 
      0.456349     0.858215 
          0.46     0.857097 
      0.463245     0.855723 
          0.47     0.851544 
          0.48     0.840888 
          0.49     0.825477 
           0.5     0.805525 
          0.51     0.781102 
      0.513598     0.771847 
          0.52     0.754244 
      0.533739     0.714845 
      0.551481     0.662588 
       0.55888     0.640723 
      0.574021     0.598724 
      0.584091     0.572304 
      0.594162     0.547767 
           0.6     0.533997 
          0.62     0.491903 
          0.64     0.455771 
          0.66     0.424791 
          0.68     0.398139 
           0.7     0.375076 
      0.719891     0.355091 
          0.74     0.337467 
       0.74522     0.333295 
          0.76     0.321877 
      0.765361     0.318083 
          0.78     0.308028 
      0.785502     0.304552 
           0.8     0.295687 
      0.805643      0.29267 
          0.85     0.269758 
           0.9     0.249433 
          0.95     0.233172 
             1      0.22042 
           1.1     0.216092 
           1.2     0.218945 
           1.3     0.238414 
           1.4     0.271667 
           1.5     0.326968 
          1.55      0.36678 
           1.6     0.406444 
       1.61129     0.415966 
          1.65      0.44791 
           1.7      0.48918 
         1.725       0.5164 
          1.75     0.543867 
           1.8      0.55487 
          1.85     0.552143 
           1.9     0.539811 
          1.95     0.516056 
             2      0.48948 
           2.1     0.437365 
           2.2     0.373615 
           2.3     0.321227 
       2.31622      0.31658 
           2.4     0.292206 
           2.5     0.277308 
          2.55     0.278534 
           2.6     0.284041 
          2.65     0.290315 
           2.7     0.301555 
          2.75      0.30756 
         2.787     0.312135 
           2.8     0.311062 
       2.81975      0.30946 
       2.84967     0.307159 
           2.9        0.299 
             3      0.28215 
           3.1      0.26424 
           3.2     0.246909 
           3.3     0.231053 
           3.4     0.220303 
           3.5     0.214504 
           3.6     0.215534 
           3.7     0.223923 
           3.8     0.238543 
           3.9     0.258698 
       3.92751     0.264448 
             4     0.279959 
          4.05      0.28954 
           4.1      0.28997 
          4.15     0.282078 
           4.2     0.280976 
          4.25     0.284838 
         4.275     0.287799 
           4.3     0.290748 
         4.325      0.29168 
          4.35      0.29248 
           4.4     0.277278 
          4.45     0.260031 
           4.5     0.243898 
        4.5375     0.233022 
          4.55     0.229445 
           4.6     0.217456 
           4.7     0.198831 
       4.79993     0.185767 
           4.8     0.185758 
           4.9     0.174878 
       4.96913     0.168366 
             5     0.165506 
           5.1     0.157527 
           5.2     0.150532 
           5.3     0.144307 
           5.4     0.138939 
       5.41269     0.138372 
           5.5     0.134615 
           5.6     0.130839 
           5.8      0.12485 
             6     0.120946 
           6.2     0.118361 
           6.4     0.118403 
           6.6     0.117165 
       6.64656     0.116596 
           6.8     0.114877 
       6.84797     0.113789 
             7     0.110482 
       7.04938     0.108905 
           7.2     0.104219 
       7.25079     0.102461 
        7.4522    0.0956389 
           7.6    0.0907376 
       7.65361    0.0890829 
           7.8    0.0846624 
       7.85502    0.0832089 
             8     0.079446 
           8.2    0.0746581 
           8.4    0.0705213 
           8.6    0.0668935 
           8.8    0.0636902 
       8.86208    0.0627736 
             9    0.0607782 
           9.2    0.0581271 
           9.4    0.0557948 
       9.53262    0.0543925 
           9.6    0.0537126 
           9.8    0.0518973 
       9.86913    0.0513348 
            10    0.0503123 
       10.1411    0.0492608 
       10.2842    0.0481944 
       10.4292    0.0471131 
          10.5    0.0465857 
       10.6481    0.0458302 
       10.7984     0.045064 
       10.9507    0.0442869 
            11    0.0440355 
       11.1552    0.0434603 
       11.3126    0.0428769 
       11.4722    0.0422853 
          11.5    0.0421822 
       11.6622    0.0418846 
       11.8268    0.0415828 
       11.9936    0.0412767 
            12     0.041265 
       12.1693    0.0412788 
        12.341    0.0412927 
          12.5    0.0413056 
       12.6764    0.0415469 
       12.8552    0.0417916 
            13    0.0419898 
       13.1834    0.0424307 
       13.3694    0.0428778 
          13.5    0.0431918 
       13.6905    0.0436418 
       13.8836     0.044098 
            14     0.044373 
       14.1975    0.0445851 
       14.3978    0.0448001 
          14.5    0.0449098 
       14.7046    0.0447754 
        14.912     0.044639 
            15    0.0445812 
       15.1224    0.0442359 
       15.2116    0.0439842 
       15.3358     0.043634 
       15.4262    0.0433788 
          15.5    0.0431707 
       15.5521    0.0430137 
       15.7187    0.0425118 
       15.7715    0.0423526 
       15.9404    0.0418436 
        15.994    0.0416821 
            16    0.0416642 
       16.1653    0.0411644 
       16.2257    0.0409818 
       16.3934     0.040475 
       16.4546    0.0402898 
          16.5    0.0401527 
       16.6868    0.0396088 
       16.7328    0.0394749 
       16.9222    0.0389233 
       16.9689    0.0387875 
        17.161    0.0382281 
       17.2083    0.0380904 
       17.4031    0.0375231 
        17.451    0.0373834 
       17.6486    0.0368082 
       17.6972    0.0366665 
       17.8976    0.0360831 
       17.9469    0.0359395 
       18.1501    0.0353479 
       18.2001    0.0352022 
       18.4061    0.0346023 
       18.4569    0.0344545 
       18.6658    0.0338461 
       18.7173    0.0336963 
       18.9292    0.0330793 
       18.9813    0.0329274 
       19.1962    0.0323017 
       19.2491    0.0321476 
        19.467    0.0315131 
          19.5    0.0314171 
       19.7417     0.030723 
       19.7751    0.0306271 
            20    0.0299812 
//
#-------------------------------------------------------------------------------
