#ZVView-data-copy:   9-Jul-2025 14:59:23
#=======================================
#
#name:   CENDL-3.2: LI-6(N,A)H-3
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  371
#data...
#            X            Y
#          MeV        barns
   1.10304e-11      45020.2 
   1.21669e-11      42865.9 
   1.34206e-11      40814.7 
   1.48034e-11      38861.7 
   1.63287e-11      37002.1 
   1.80111e-11      35231.6 
   1.98669e-11      33545.7 
   2.19139e-11      31940.5 
   2.41719e-11      30412.1 
   2.66625e-11      28956.9 
   2.94097e-11      27571.3 
     3.244e-11        26252 
   3.57825e-11      24995.8 
   3.94694e-11      23799.7 
   4.35362e-11      22660.9 
   4.80221e-11      21576.5 
   5.29701e-11      20544.1 
    5.8428e-11        19561 
   6.44483e-11        18625 
   7.10888e-11      17733.8 
   7.84136e-11      16885.2 
   8.64931e-11      16077.2 
   9.54051e-11      15307.9 
   1.05235e-10      14575.4 
   1.16078e-10        13878 
   1.28039e-10      13213.9 
   1.41231e-10      12581.6 
   1.55784e-10      11979.6 
   1.71835e-10      11406.3 
    1.8954e-10      10860.5 
    2.0907e-10      10340.8 
   2.30612e-10      9846.03 
   2.54374e-10      9374.89 
   2.80584e-10      8926.29 
   3.09494e-10      8499.16 
   3.41383e-10      8092.47 
   3.76558e-10      7705.23 
   4.15358e-10      7336.53 
   4.58155e-10      6985.47 
   5.05362e-10      6651.21 
   5.57433e-10      6332.94 
   6.14869e-10      6029.91 
   6.78223e-10      5741.37 
   7.48105e-10      5466.64 
   8.25188e-10      5205.06 
   9.10213e-10      4955.99 
      1.004e-9      4718.84 
    1.10745e-9      4493.04 
    1.22155e-9      4278.05 
    1.34742e-9      4073.34 
    1.48625e-9      3878.42 
    1.63939e-9      3692.84 
    1.80831e-9      3516.13 
    1.99463e-9      3347.88 
    2.20016e-9      3187.68 
    2.42685e-9      3035.15 
    2.67691e-9      2889.92 
    2.95273e-9      2751.63 
    3.25697e-9      2619.96 
    3.59256e-9       2494.6 
