Bin Center	Bin Value
1.0084766734865977e-06	42853.26011609487
1.025573728446591e-06	42586.02871519421
1.0429606357115412e-06	42314.26684763195
1.0606423092481435e-06	42037.897706834825
1.0786237463312785e-06	41756.84318410104
1.096910028956362e-06	41471.023846525
1.1155063252756382e-06	41180.358914547396
1.1344178910588306e-06	40884.76623912499
1.1536500711785527e-06	40584.162278513446
1.1732083011208957e-06	40278.46207465614
1.1930981085216315e-06	39967.579229173076
1.213325114728462e-06	39688.98723122676
1.2338950363897473e-06	39465.19553706135
1.2548136870701676e-06	39237.60982465503
1.276086978893783e-06	39006.16577270011
1.297720924214946e-06	38770.79796942755
1.3197216373175394e-06	38531.43989411979
1.3420953361430188e-06	38288.023898310494
1.3648483440477588e-06	38040.48118666539
1.3879870915901932e-06	37788.741797539114
1.4115181183482398e-06	37532.73458320217
1.4354480747675497e-06	37272.387189732886
1.4597837240410894e-06	37029.8499933379
1.484531944020583e-06	36841.47131527534
1.509699729160358e-06	36649.89898812122
1.5352941924941531e-06	36455.078868834375
1.56132256764544e-06	36256.955896467916
1.5877922108718152e-06	36055.47407660757
1.6147106031440625e-06	35850.57646554635
1.6420853522604615e-06	35642.20515419081
1.669924194996937e-06	35430.301251694604
1.698234999293656e-06	35214.80486881442
1.727025766478706e-06	34995.655100983764
1.7563046335294701e-06	34785.20532506018
1.7860798753723282e-06	34633.78877354234
1.816359907221357e-06	34479.80520468914
1.8471532869566818e-06	34323.211098964974
1.8784687175431391e-06	34163.96219903253
1.9103150494899438e-06	34002.013497244436
1.942701283352064e-06	33837.31922292304
1.9756365722740036e-06	33669.83282942461
2.009130224576702e-06	33499.5069809839
2.043191706388287e-06	33326.293539336075
2.077830644319443e-06	33150.143550111556
2.1130568281841312e-06	32975.01525919836
2.148880213766419e-06	32865.63033391383
2.1853109256342356e-06	32754.390968037304
2.2223592600008277e-06	32641.265722594013
2.260035687634718e-06	32526.22262561329
2.2983508568189965e-06	32409.229163092583
2.33731559636079e-06	32290.25226980815
2.3769409186517584e-06	32169.258319970086
2.4172380227804506e-06	32046.213117718766
2.458218297697449e-06	31921.081887460292
2.499893325434172e-06	31793.829264038042
2.5422748843762352e-06	31664.419282737683
2.5853749525923086e-06	31649.48431475529
2.6292057112194152e-06	31641.216885681733
2.6737795479056283e-06	31632.809296014526
2.7191090603111086e-06	31624.259169562472
2.765207059668523e-06	31615.56408985002
2.812086574403813e-06	31606.721599434244
2.8597608538183485e-06	31597.72919921034
2.908243371833496e-06	31588.584347705317
2.9575478307986853e-06	31579.28446035971
3.007688165364037e-06	31569.82690879712
3.0586785464186307e-06	31560.20902008138
3.1105333850955385e-06	31521.974859603495
3.1632673368447717e-06	31477.353868926457
3.216895305575281e-06	31431.976403112192
3.271432447867146e-06	31385.82963737521
3.326894177255208e-06	31338.900529506995
3.3832961685853226e-06	31291.175816189956
3.4406543624444367e-06	31242.64200924885
3.4989849696657957e-06	31193.28539183875
3.5583044759105364e-06	31143.092014568265
3.6186296463269256e-06	31092.04769155716
3.679977530288602e-06	31040.137996427035
3.7423654662131476e-06	31101.50817421543
3.8058110864623638e-06	31208.196836855903
3.870332322325599e-06	31316.69422941221
3.935947409087562e-06	31427.03101591021
4.0026748911820734e-06	31539.238380233634
4.070533627433186e-06	31653.348034937364
4.1395427963851244e-06	31769.392230210276
4.209721901722633e-06	31887.403762989896
4.2810907777831974e-06	32007.415986231546
4.3536695951627085e-06	32129.462818334843
4.427478866416158e-06	32253.57875272976
4.5025394518550016e-06	32484.013499699282
4.5788725654428015e-06	32785.23291092007
4.656499780790804e-06	33091.55899933436
4.735443037255164e-06	33403.078340212465
4.815724646137554e-06	33719.878976565386
4.897367296990898e-06	34042.050444027685
4.980394064031971e-06	34369.68379616273
5.0648284126627486e-06	34702.87163019656
5.150694206102325e-06	35041.708113187975
5.23801571213121e-06	35386.289008642714
5.3268176099500205e-06	35736.71170357843
5.417124997154431e-06	36295.35604778706
5.508963396828368e-06	37067.4595571736
5.602358764757438e-06	37852.65280525399
5.697337496764694e-06	38651.15770691009
5.793926436170743e-06	39463.19993922387
5.892152881380323e-06	40289.00900525885
5.9920445935974825e-06	41128.81829892393
6.093629804671601e-06	41982.86517093594
6.1969372250764114e-06	42851.39099590042
6.301996052024249e-06	43734.64124053073
6.408835977717925e-06	44632.865533022516
6.517487197742476e-06	46441.478956282175
6.627980419599171e-06	49699.313933577134
6.740346871384189e-06	53012.380117623565
6.854618310614458e-06	56381.61386223371
6.970827033203125e-06	59807.96739554963
7.089005882587156e-06	63292.40908916868
7.209188259009688e-06	66835.92373182751
7.331408128959766e-06	70439.5128077284
7.4557000347721344e-06	74104.1947795814
7.582099104389701e-06	77831.00537644966
7.710641061291574e-06	81620.99788647045
7.841362234589427e-06	146123.88353917384
7.974299569294943e-06	370738.6444476284
8.109490636761403e-06	599161.3773330664
8.2469736453023e-06	831456.6400657024
8.386787450989916e-06	1067690.0849876471
8.528971568637e-06	1307928.4774680256
8.673566182964624e-06	1552239.7147724093
8.820612159959398e-06	1800692.8452522939
8.970151058423186e-06	2053358.08785975
9.122225141718621e-06	2310306.851993196
9.276877389713784e-06	2571611.757679363
9.434151510929404e-06	2757486.927373456
9.594091954891897e-06	2543840.999601695
9.756743924695923e-06	2326573.058286984
9.922153389779922e-06	2105621.698177041
1.009036709891814e-05	1880924.4729949527
1.0261432593433015e-05	1652417.8777904382
1.0435398220631543e-05	1420037.3309917601
1.0612313147469377e-05	1183717.156153353
1.079222737444664e-05	943390.563394171
1.0975191749739265e-05	698989.63052106
1.1161257983569949e-05	450445.2838323454
1.1350478662822769e-05	250716.49537585423
1.1542907265905469e-05	956717.4102388142
1.1738598177863784e-05	1674687.4035749312
1.1937606705752042e-05	2404829.3913243343
1.2139989094264214e-05	3147349.7295317487
1.2345802541630085e-05	3902458.2726675393
1.25551052157809e-05	4670368.432937442
1.276795627078901e-05	5451297.240598644
1.2984415863586297e-05	6245465.405297489
1.3204545170965955e-05	7053097.37844754
1.3428406406872572e-05	7874421.416665149
1.365606283998538e-05	8709669.646279994
1.3887578811599428e-05	8109614.9519026
1.4123019753810072e-05	7413405.977176454
1.4362452208005724e-05	6705393.930136012
1.4605943843673997e-05	5985378.709200891
1.4853563477526813e-05	5253156.820399181
1.5105381092949725e-05	4508521.319855339
1.5361467859780866e-05	3751261.7553022173
1.5621896154425324e-05	2981164.1066024527
1.5886739580310524e-05	2198010.7252610475
1.6156072988688328e-05	1401580.2729124248
1.6429972499789846e-05	591647.6587652249
1.6708515524338865e-05	426695.05404174764
1.6991780785430004e-05	391799.1654949518
1.7279848340777897e-05	356311.6748416889
1.7572799605343317e-05	320222.5524461728
1.787071737434314e-05	283521.5986367235
1.817368584665031e-05	246198.44082309928
1.8481790648590444e-05	208242.53056492563
1.8795118858141955e-05	169643.14059045663
1.911375902954649e-05	130389.36176480186
1.943780121833644e-05	90470.10000670681
1.976733700678692e-05	49874.07315311288
2.010245952979909e-05	36884.0825824407
2.0443263501222395e-05	34648.08312264861
2.0789845240623102e-05	32374.175988183062
2.1142302700506447e-05	30061.718517082107
2.150073549400046e-05	27710.057152112513
2.1865244923009176e-05	25318.527256059424
2.2235934006842876e-05	22886.45292388179
2.2612907511333957e-05	20413.14679168584
2.2996271978446405e-05	17897.909842460114
2.3386135756387007e-05	15340.031208514381
2.378260903022729e-05	12738.78797057205
2.4185803853044587e-05	11381.635651255472
2.4595834177590902e-05	10828.150225790601
2.5012815888498808e-05	10265.281369863289
2.5436866835033212e-05	9692.870002921032
2.58681068643985e-05	9110.754347463531
2.6306657855610375e-05	8518.769883320603
2.6752643753941705e-05	7916.749301154318
2.720619060595257e-05	7304.522455173489
2.7667426595114205e-05	6681.916315046516
2.8136482078036625e-05	6048.754916998329
2.8613489621310677e-05	5404.859314078915
2.9098584038974685e-05	4985.007005477688
2.9591902430616117e-05	4794.979579024335
3.009358422011933e-05	4601.730551675896
3.060377119507013e-05	4405.205306514587
3.112260754682844e-05	4205.34830068304
3.165023991128045e-05	4002.1030496866333
3.21868174102813e-05	3795.412111429428
3.273249169380069e-05	3585.217069979708
3.328741698278297e-05	3371.458519060271
3.385175011273356e-05	3154.0760452586114
3.4425650578044646e-05	2933.008210952672
3.500928057707227e-05	7274.050940007466
3.5602805057977356e-05	18924.191998576774
3.620639176534429e-05	30771.841940798604
3.682021128758963e-05	42820.34920330802
3.74444371051745e-05	55073.11898994922
3.807924563963456e-05	67533.61423416453
3.872481630344087e-05	80205.3565777129
3.938133155070636e-05	93091.92736596803
4.0048976928751986e-05	106196.96866008945
4.0727941130546655e-05	119524.1842663681
4.1418416048036695e-05	133077.3407830084
4.2120596826379276e-05	140013.56994778142
4.283468191909501e-05	129115.61818999043
4.356087314415589e-05	118032.90967475116
4.4299375741024114e-05	106762.31215665159
4.505039842865766e-05	95300.64028823253
4.581415346449944e-05	83644.65471973516
4.659085670446638e-05	71791.06118358047
4.738072766395563e-05	59736.50956332671
4.818398957988521e-05	47477.59294685001
4.9000869473785896e-05	35010.846663458615
4.983159821596325e-05	22332.747304696586
5.06764105907474e-05	11458.184823284606
5.153554536284851e-05	10576.897621108856
5.240924534483774e-05	9680.669651211467
5.329775746577216e-05	8769.247617573437
5.420133284098267e-05	7842.373929960128
5.5120226843045515e-05	6899.786631120386
5.605469917395691e-05	5941.219322750763
5.70050139385311e-05	4966.401090205306
5.797143971904293e-05	3975.0564259277157
5.895424965113561e-05	2966.9051515865945
5.9953721501015705e-05	1941.6623388899775
6.097013774395682e-05	1202.387675041781
6.20037856441337e-05	5651.104829464783
6.305495733581034e-05	10175.242629392807
6.412394990590445e-05	14776.079707197074
6.521106547795113e-05	19454.91637234848
6.631661129749061e-05	24213.074978915713
6.74408998189035e-05	29051.900299292945
6.858424879371796e-05	33972.75990426927
6.974698136041389e-05	38977.0445495351
7.092942613574999e-05	44066.16856874478
7.213191730763902e-05	49241.57027324238
7.335479472959735e-05	54504.712358561315
7.459840401679581e-05	72020.98939180095
7.586309664373918e-05	90555.78211223957
7.714923004360164e-05	109404.80160474156
7.845716770924578e-05	128573.37506480444
7.978727929595481e-05	148066.9200017195
8.113994072590647e-05	167890.94576968523
8.251553429441738e-05	188051.0551249008
8.391444877798925e-05	208552.94580903286
8.533707954418694e-05	229402.41215954217
8.678382866337875e-05	250605.346747295
8.825510502237144e-05	272167.74204196414
8.975132443997161e-05	265317.87466970866
9.127290978450629e-05	252547.7782099553
9.28202910933363e-05	239561.18587404018
9.439390569439473e-05	226354.4273322547
9.599419832978691e-05	212923.7700305175
9.762162128148563e-05	199265.41813546757
9.927663449915664e-05	185375.51146165878
0.00010095970573015196	171250.12438058277
0.000102671310651707	156885.26471119153
0.00010441193300537818	142276.8725916029
0.00010618206473376047	127420.81933169039
0.00010798220611952227	119810.48612650423
0.0001098128659267977	114979.14297456415
0.00011167456154497583	110065.89238582298
0.00011356781913492733	105069.34575508432
0.00011549317377771094	99988.09093564731
0.00011745116962580011	94820.6918401968
0.000119442360056874	89565.6880349325
0.00012146730783021559	84221.59432681174
0.00012352658524576125	78786.90034379995
0.00012562077430584671	73260.07010800137
0.00012775046687969532	67639.54160155295
0.00012991626487069465	66044.29341496067
0.00013211878038650918	67066.30650779749
0.00013435863591207715	68105.64614320824
0.0001366364644855399	69162.60606408119
0.00013895290987715406	70237.48499322945
0.00014130862677123667	71330.58671781764
0.0001437042809511953	72442.22017521989
0.00014614054948769456	73572.6995403324
0.000148618120930013	74722.34431436777
0.000151137695500644	75891.47941515321
0.00015369998529319567	77080.4352689609
0.00015630571447364634	77711.76379311446
0.0001589556194850114	77771.13423454232
0.00016165044925548012	77831.51120366364
0.0001643909654100813	77892.91176449167
0.00016717794248593707	77955.35327033178
0.00017001216815116626	78018.85336868592
0.00017289444342749832	78083.43000624028
0.00017582558291666232	78149.10143393747
0.00017880641503061295	78215.88621213463
0.00018183778222566024	78283.8032158491
0.0001849205412405683	78352.87164009293
0.00018805556333869087	78330.10672700078
0.00019124373455421158	78159.57225105172
0.00019448595594255894	77986.146644961
0.00019778314383506694	77809.78089439619
0.0002011362300979524	77630.42515406785
0.00020454616239568355	77448.0287336421
0.0002080139044588133	77262.54008341422
0.00021154043635635282	77073.90677973941
0.00021512675477276336	76882.07551021673
0.00021877387328964368	76686.99205862149
0.00022248282267219304	76488.60128958266
0.00022625465116053078	74972.09109129511
0.00023009042476595482	69982.632632934
0.0002339912275722221	64908.58615411965
0.00023795816204193806	59748.51760479214
0.00024199234932813907	54500.968622942055
0.0002460949295911579	49164.45612244387
0.000250267062320861	43737.47187389822
0.0002545099266643491	38218.482078368645
0.00025882472175921256	32605.926933894207
0.0002632126670724374	26898.220194648962
0.0002676750027450568	21093.748722632423
0.000272212989942645	16037.530607008164
0.0002768279112117538	15164.652486012088
0.00028152107084239176	14276.976159365504
0.0002862937952366485	13374.250747953332
0.0002911474332835686	12456.221119420034
0.00029608335674038034	11522.627816062473
0.0003011029606201888	10573.2069815013
0.0003062076635862394	9607.690286108167
0.0003113989083528686	8625.80485116968
0.0003166781620932493	7627.273171764694
0.0003220469168540502	6611.81303833503
0.0003275066899771249	5828.951036280076
0.0003330590245283501	9315.540280855732
0.00033870548973373356	12861.238882647474
0.0003444476814229158	16467.048943098012
0.0003502872224801914	20133.989552622585
0.0003562257633031753	23863.097078630715
0.0003622649822692456	27655.425458427435
0.0003684065862098948	31512.04649708339
0.00037465231089312185	35434.05017035178
0.0003810039215140027	39422.54493272298
0.0003874632131935779	43478.65803070171
0.0003940320114861983	47603.535821392725
0.0004007121728954702	46722.35713840014
0.0004075055853989504	45525.13481976465
0.0004144141689817342	44307.615575757205
0.00042143987617909023	43069.45530555955
0.00042858469262829513	41810.30407469289
0.0004358506376298232	40529.80601611754
0.00044323976471805033	39227.599229656735
0.00045075416224163326	37903.315679714135
0.0004583959539537282	36556.581091258544
0.00046616729961221495	35187.01484404396
0.0004740703955900987	33794.229865037676
0.00048210747549625794	33637.13110590879
0.0004902808108067176	33731.35268041984
0.0004985927115066238	33827.17162597593
0.0005070455267431023	33924.61502336265
0.0005156416454891852	34023.7104124755
0.0005243834972189932	34124.48580010344
0.0005332735525943647	34226.969667844176
0.0005423143241631259	34331.19098015388
0.0005515083670691978	34437.17919253318
0.0005608582797747427	34544.964259852015
0.0005703667047945538	34654.576644815636
0.0005800363294428943	34674.24716309235
0.0005898698865929987	34658.64555919561
0.0005998701554494499	34642.77945589467
0.0006100399623336496	34626.644369039364
0.0006203821814826074	34610.23573845815
0.0006308997358612702	34593.54892666934
0.0006415955979886241	34576.5792175704
0.0006524727907778005	34559.32181510507
0.0006635343883904261	34541.77184190789
0.0006747835171054565	34523.92433792573
0.0006862233562027389	34505.774259015954
0.0006978571388615554	33331.5435201404
0.0007096881530743971	31395.707378051593
0.000721719742576234	29427.05233416282
0.0007339553077895347	27425.02199824435
0.0007463983067853096	25389.050547390176
0.000759052256260447	23318.562566102297
0.0007719207325316177	21212.972883663675
0.0007850073725460303	19071.686408755602
0.0007983158749093201	16894.097961269297
0.0008118500009308684	14679.592101268041
0.0008256135756868389	12427.542955047895
0.0008396104891012391	11482.008665355586
0.0008538446970453072	11876.489663609133
0.0008683202224555398	12277.658435100404
0.0008830411564706713	12685.62835996955
0.0008980116595879309	13100.514740529656
0.0009132359628389011	13522.434833853828
0.0009287183689853098	13951.50788491511
0.0009444632537350985	14387.855160287858
0.0009604750669791034	14831.599982420837
0.000976758334048704	15282.867764490991
0.0009933176569947924	15741.786045848386
0.0010101577158884273	15900.759502664641
0.0010272832701435355	15574.777099058721
0.0010446991598620384	15243.2682026573
0.0010624103072017859	14906.1391209105
0.0010804217177676776	14563.294572866072
0.0010987384820263695	14214.637662240804
0.0011173657767449654	13860.069850035077
0.0011363088664540976	13499.490926683498
0.001155573104935813	13132.798983733144
0.0011751639367366833	12759.890385041652
0.001195086898706568	12380.65973748728
0.0012153476215634612	12030.20221486192
0.0012359518314848752	11766.10244314167
0.0012569053517261955	11497.525296355885
0.0012782141042664767	11224.394868011574
0.0012998841114821393	10946.63396474662
0.0013219214978490406	10664.164084513006
0.0013443324916734025	10376.905394390333
0.0013671234268520828	10084.776708022931
0.0013903007446626919	9787.695462674732
0.0014138709955840512	9485.577695894899
0.0014378408411475259	9178.3380217881
0.001462217055819732	8942.166059508403
0.001487006528917169	9086.594740051143
0.0015122162665533096	9233.471970127997
0.0015378533936186989	9382.839260848814
0.0015639251557946247	9534.73882707566
0.0015904389216009206	9689.213599353834
0.0016174021844784967	9846.307236045039
0.001644822564907166	10006.064135666358
0.0016727078125593794	10168.52944943831
0.0017010658084904745	10333.749094045761
0.0017299045673660539	10501.769764615026
0.0017592322397271272	10653.656864474367
0.0017890571142936541	10482.69624703903
0.00181938762030714	10308.837274937569
0.0018502323299129445	10132.030811357658
0.0018815999605829837	9952.226886453582
0.0019134993775794988	9769.374683223456
0.0019459395964605988	9583.422523147156
0.0019789297856282768	9394.317851580676
0.0020124792689196255	9202.007222902868
0.002046597528241984	9006.436285410462
0.0020812942062527554	8807.549765956863
0.0021165791090846623	8605.291454330689
0.0021524622091171927	8298.383832975525
0.0021889536477950485	7980.2687653993835
0.002226063738494361	7656.760582705201
0.002263802969437506	7327.767853541136
0.0023021820066573316	6993.197596487914
0.002341211697011642	6652.955253779937
0.002380903071248787	6306.944664581084
0.0024212673471252157	5955.068037807115
0.0024623159325758994	5597.225924487714
0.002504060428938488	5233.317189659563
0.002546512634232132	4863.238983783318
0.002589684546491897	4715.3377099731215
0.0026335883671596977	4611.004525222498
0.0026782365045327286	4504.9025437899845
0.002723641577270352	4397.0017786516955
0.0027698164179604406	4287.271734403349
0.002816774076746179	4175.68139864147
0.002864527825014361	4062.199233198572
0.002913091159146204	3946.793165229643
0.00296247780433176	3829.4305781476255
0.0030127017184489882	3710.07830240514
0.003063777096008598	3588.702606119946
0.0031157183721657643	3508.8739591937683
0.003168540226799852	3444.6044931625006
0.0032222575886633196	3379.245444573828
0.0032768856396009427	3312.778341356588
0.003332439818840581	3245.184398276208
0.0033889358273566797	3176.444511625496
0.0034463896323077533	3106.5392538254955
0.003504817471549092	3035.448867934766
0.0035642358582219833	2963.153262065567
0.0036246615854207296	2889.6320037054356
0.0036861117309387823	2814.864313942414
0.0037486036620953556	2940.4148743819123
0.003812155040643852	3197.4583128674217
0.0038767838277635053	3458.8594979527584
0.0039425082891356555	3724.692308028036
0.004009347000106073	3995.031873969394
0.004077318850934814	4269.954600372726
0.004146443052135065	4549.538187147604
0.004216739139902512	4833.861651477071
0.004288226981636735	5123.005350149953
0.0043609267815562435	5417.051002271535
0.0044348590864086695	5716.081712359512
0.004510044791277788	5843.975987567953
0.004586505145488975	5796.34512920368
0.004664261758614799	5747.906768370922
0.004743336606582408	5698.647215200157
0.004823752037884462	5648.552547732741
0.004905530779895379	5597.608607986244
0.004988695945294638	5545.800997953042
0.0050732710385989945	5493.115075531097
0.00515927996280543	5439.535950385727
0.005246747026146728	5385.048479741248
0.005335696948961579	5329.637264101244
0.005426154870681148	5279.44384985198
0.005518146356934106	5238.156797994639
0.005611697406772088	5196.169792421659
0.005706834460017679	5153.470966574836
0.005803584404736951	5110.048252718082
0.005901974584838687	5065.889378526796
0.006002032807802441	5020.981863619402
0.006103787352537622	4975.313016030076
0.006207266977375798	4928.869928621705
0.0063125009281985115	4881.639475437992
0.006419518946702887	4833.608307993755
0.006528351278807347	4788.559183997588
0.006639028683199877	4752.700160215222
0.006751582440031165	4716.233205960552
0.006866044359755151	4679.148014777347
0.006982446792119436	4641.43410548045
0.007100822635308117	4603.080819193522
0.007221205345239623	4564.077316336613
0.007343628945022168	4524.412573562598
0.007468128034569535	4484.075380641735
0.007594737800379845	4443.054337293358
0.007723494025480133	4401.337849963896
0.007854433099539503	4359.934953467757
0.007987592029153752	4322.977388457685
0.008123008448304332	4285.393269024717
0.008260720628994637	4247.171972974316
0.008400767492066627	4208.302698030209
0.008543188618200779	4168.774458781378
0.008688024259102596	4128.5760835773235
0.008835315348878707	4087.696211370673
0.008985103515605851	4046.123288506284
0.009137431093096001	4003.845565455887
0.009292341132860928	3960.851093497378
0.00944987741627962	3918.104168424263
0.00961008446697198	3891.372433604906
0.009773007563382282	3864.187506409962
0.009938692751575978	3836.54170371184
0.010107186858253434	3808.427212128226
0.010278537503984326	3779.836085813816
0.010452793116666375	3750.7602442146476
0.01063000294521226	3721.191469784311
0.010810217073468546	3691.1214056614835
0.010993486434370621	3660.5415533080723
0.011179862824337635	3629.4432701073283
0.011369398917911373	3597.817766921212
0.0115621482826434	3570.221389759652
0.01175816539423459	3542.427971742814
0.01195750565193128	3514.1633622667687
0.01216022539418243	3485.4195730592146
0.012366381914562269	3456.188480419897
0.012576033477962906	3426.4618229246626
0.012789239337061348	3396.2311990905587
0.013006059749065789	3365.488065001378
0.013226555992745814	3334.223731892937
0.013450790385751248	3302.4293636974267
0.013678826302224625	3270.0959745461046
0.013910728190712313	3244.1146902858136
0.01414656159237927	3219.0846272769318
0.014386393159532572	3193.6302209250985
0.014630290674458951	3167.7442771903866
0.01487832306858176	3141.4194800698087
0.01513056044194274	3114.6483895296487
0.01538707408301392	3087.423439402711
0.01564793648884552	3059.736935249941
0.015913221385555443	3031.581052185797
0.016183003749166057	3002.9478326667295
0.01645735982679421	2973.829184242196
0.016736367158200583	2949.6138905166995
0.01702010459770437	2927.0813515971663
0.01730865233646935	2904.166810727144
0.01760209192516793	2880.86379169502
0.017900506297029384	2857.165708495719
0.018203979791278812	2833.0658634693436
