unit: MeV 
spectrum:
0.000000000000000000e+00 0.000000000000000000e+00
1.010101010101010083e-01 2.111594223428082950e-02
2.020202020202020166e-01 2.835432618575734962e-02
3.030303030303030387e-01 3.287611626333420550e-02
4.040404040404040331e-01 3.584277816836754782e-02
5.050505050505050830e-01 3.774363844812307633e-02
6.060606060606060774e-01 3.885465454094375742e-02
7.070707070707070718e-01 3.935702836470951482e-02
8.080808080808080662e-01 3.938111258980658141e-02
9.090909090909090606e-01 3.902625750089557671e-02
1.010101010101010166e+00 3.837107093183427659e-02
1.111111111111111160e+00 3.747928210547289002e-02
1.212121212121212155e+00 3.640337370462703309e-02
1.313131313131313149e+00 3.518698791165630890e-02
1.414141414141414144e+00 3.386661388749145907e-02
1.515151515151515138e+00 3.247282999639505147e-02
1.616161616161616132e+00 3.103125606051916965e-02
1.717171717171717127e+00 2.956330797884055075e-02
1.818181818181818121e+00 2.808681186074907243e-02
1.919191919191919116e+00 2.661651436678466251e-02
2.020202020202020332e+00 2.516451364200459825e-02
2.121212121212121104e+00 2.374062759788064109e-02
2.222222222222222321e+00 2.235271143791620410e-02
2.323232323232323093e+00 2.100693314532272454e-02
2.424242424242424310e+00 1.970801352282426991e-02
2.525252525252525082e+00 1.845943591335056852e-02
2.626262626262626299e+00 1.726362970158216298e-02
2.727272727272727071e+00 1.612213095312720404e-02
2.828282828282828287e+00 1.503572299687226839e-02
2.929292929292929060e+00 1.400455933610330120e-02
3.030303030303030276e+00 1.302827094550165071e-02
3.131313131313131048e+00 1.210605974758043046e-02
3.232323232323232265e+00 1.123677984568992663e-02
3.333333333333333481e+00 1.041900790922086276e-02
3.434343434343434254e+00 9.651103951676417644e-03
3.535353535353535470e+00 8.931263608000221399e-03
3.636363636363636243e+00 8.257562899775998042e-03
3.737373737373737459e+00 7.627996372653651595e-03
3.838383838383838231e+00 7.040509397405046721e-03
3.939393939393939448e+00 6.493025342713657291e-03
4.040404040404040664e+00 5.983468252888553447e-03
4.141414141414140992e+00 5.509781596161384201e-03
4.242424242424242209e+00 5.069943588267955548e-03
4.343434343434343425e+00 4.661979540960404199e-03
4.444444444444444642e+00 4.283971635373213377e-03
4.545454545454544970e+00 3.934066475280851086e-03
4.646464646464646187e+00 3.610480734800689592e-03
4.747474747474747403e+00 3.311505178621558260e-03
4.848484848484848619e+00 3.035507300022076849e-03
4.949494949494949836e+00 2.780932792462153472e-03
5.050505050505050164e+00 2.546306044090029721e-03
5.151515151515151381e+00 2.330229820834733151e-03
5.252525252525252597e+00 2.131384282599127749e-03
5.353535353535353813e+00 1.948525458201232595e-03
5.454545454545454142e+00 1.780483287918269326e-03
5.555555555555555358e+00 1.626159327572368170e-03
5.656565656565656575e+00 1.484524194878869639e-03
5.757575757575757791e+00 1.354614827091036363e-03
5.858585858585858119e+00 1.235531608666769763e-03
5.959595959595959336e+00 1.126435418613755055e-03
6.060606060606060552e+00 1.026544639211627750e-03
6.161616161616161769e+00 9.351321608468489465e-04
6.262626262626262097e+00 8.515224116219186892e-04
6.363636363636363313e+00 7.750884351187557536e-04
6.464646464646464530e+00 7.052490351192318733e-04
6.565656565656565746e+00 6.414660021346864577e-04
6.666666666666666963e+00 5.832414331993382396e-04
6.767676767676767291e+00 5.301151534752303026e-04
6.868686868686868507e+00 4.816622457408716051e-04
6.969696969696969724e+00 4.374906917398157244e-04
7.070707070707070940e+00 3.972391276024768393e-04
7.171717171717171269e+00 3.605747140827087697e-04
7.272727272727272485e+00 3.271911211329046019e-04
7.373737373737373701e+00 2.968066253443054628e-04
7.474747474747474918e+00 2.691623179734949555e-04
7.575757575757575246e+00 2.440204206354104665e-04
7.676767676767676463e+00 2.211627052446160776e-04
7.777777777777777679e+00 2.003890144095128712e-04
7.878787878787878896e+00 1.815158782106885099e-04
7.979797979797979224e+00 1.643752231088701349e-04
8.080808080808081328e+00 1.488131686161375724e-04
8.181818181818181657e+00 1.346889073139879067e-04
8.282828282828281985e+00 1.218736638030358576e-04
8.383838383838384090e+00 1.102497282123551570e-04
8.484848484848484418e+00 9.970955997380170682e-05
8.585858585858586522e+00 9.015495767122249293e-05
8.686868686868686851e+00 8.149629090037862180e-05
8.787878787878787179e+00 7.365179021760852849e-05
8.888888888888889284e+00 6.654689140946770730e-05
8.989898989898989612e+00 6.011363047811673439e-05
9.090909090909089940e+00 5.429008590504366845e-05
9.191919191919192045e+00 4.901986492621976328e-05
9.292929292929292373e+00 4.425163072285518334e-05
9.393939393939394478e+00 3.993866760179703496e-05
9.494949494949494806e+00 3.603848140687039103e-05
9.595959595959595134e+00 3.251243256594334743e-05
9.696969696969697239e+00 2.932539933731934421e-05
9.797979797979797567e+00 2.644546897251402956e-05
9.898989898989899672e+00 2.384365466005413848e-05
1.000000000000000000e+01 2.149363625627767407e-05
